word,label
ขยัน_2.mp4,0
ขอบคุณ_2.mp4,1
ขอโทษ_2.mp4,2
ขี้เกียจ_2.mp4,3
ขโมย_2.mp4,4
คิดถึง_2.mp4,5
คุณ_2.mp4,7
คุณช่วยแปลภาษาอังกฤษเป็นภาษาไทยให้ฉันด้วย_2.mp4,8
คุณพรุ่งนี้อย่าลืมส่งการบ้านคณิตศาสตร์ให้ครู_2.mp4,6
ฉัน_2.mp4,9
ฉันตื่นนอน6โมงเช้าทุกวัน_2.mp4,10
ฉันฝึกเขียนภาษาไทยจนเขียนได้ดีขึ้น_2.mp4,11
ชอบ_2.mp4,12
ดีใจ_2.mp4,13
น่ารัก_2.mp4,14
น้อง_2.mp4,15
บ้าน_2.mp4,16
ภาษาอังกฤษเป็นเรื่องยากสำหรับคนหูหนวก_2.mp4,17
รถยนต์_2.mp4,18
รัก_2.mp4,19
ลาก่อน_2.mp4,20
วิชาคณิตศาสตร์เป็นวิชาที่เรียนยากมาก_2.mp4,21
สบายดี_2.mp4,22
สวัสดี_2.mp4,23
อยาก_2.mp4,24
เครียด_2.mp4,25
เดิน_2.mp4,26
เพลีย_2.mp4,27
เมื่อย_2.mp4,28
เสียใจ_2.mp4,29
โรงเรียน_2.mp4,30
ไป_2.mp4,31
